date,calories,gsr,heart-rate,skin-temp,steps
2014-11-25 11:40Z,1.1,5.85751e-05,58,94.1,0
2014-11-25 11:41Z,1.1,5.72925e-05,56,93.2,0
2014-11-25 11:42Z,1.1,5.76104e-05,53,92.3,0
2014-11-25 11:43Z,1.1,5.76104e-05,54,92.3,0
2014-11-25 11:44Z,1.1,5.66617e-05,56,92.3,0
2014-11-25 11:45Z,1.2,5.76104e-05,60,91.4,0
2014-11-25 11:46Z,1.1,5.72925e-05,56,91.4,0
2014-11-25 11:47Z,1.2,5.66617e-05,54,91.4,0
2014-11-25 11:48Z,1.1,5.72925e-05,56,91.4,0
2014-11-25 11:49Z,1.1,5.69762e-05,55,90.5,0
2014-11-25 11:50Z,1.1,5.66617e-05,54,90.5,0
2014-11-25 11:51Z,1.3,5.60379e-05,52,90.5,0
2014-11-25 11:52Z,1.2,5.18595e-05,53,90.5,0
2014-11-25 11:53Z,1.1,5.45083e-05,56,90.5,0
2014-11-25 11:54Z,1.2,5.39083e-05,55,89.6,0
2014-11-25 11:55Z,1.1,5.42075e-05,56,89.6,0
2014-11-25 11:56Z,1.1,5.39083e-05,56,89.6,0
2014-11-25 11:57Z,1.1,5.45083e-05,56,89.6,0
2014-11-25 11:58Z,1.1,5.36107e-05,57,89.6,0
2014-11-25 11:59Z,1.2,5.33148e-05,57,88.7,0
2014-11-25 12:00Z,1.1,5.36107e-05,56,88.7,0
2014-11-25 12:01Z,1.1,5.33148e-05,55,88.7,0
2014-11-25 12:02Z,1.1,5.24368e-05,55,88.7,0
2014-11-25 12:03Z,1.1,5.33148e-05,56,88.7,0
2014-11-25 12:04Z,1.2,5.33148e-05,55,88.7,0
2014-11-25 12:05Z,1.1,5.27279e-05,55,88.7,0
2014-11-25 12:06Z,1.2,5.15733e-05,56,88.7,0
2014-11-25 12:07Z,1.1,5.01656e-05,55,87.8,0
2014-11-25 12:08Z,1.2,4.79927e-05,52,87.8,0
2014-11-25 12:09Z,1.1,5.15733e-05,52,87.8,0
2014-11-25 12:10Z,1.1,5.18595e-05,53,88.7,0
2014-11-25 12:11Z,1.1,5.24368e-05,53,88.7,0
2014-11-25 12:12Z,1.1,5.30205e-05,52,88.7,0
2014-11-25 12:13Z,1.2,5.30205e-05,51,88.7,0
2014-11-25 12:14Z,1.1,5.36107e-05,52,88.7,0
2014-11-25 12:15Z,1.1,5.36107e-05,52,88.7,0
2014-11-25 12:16Z,1.1,5.39083e-05,53,88.7,0
2014-11-25 12:17Z,1.2,5.45083e-05,51,88.7,0
2014-11-25 12:18Z,1.1,5.42075e-05,52,88.7,0
2014-11-25 12:19Z,1.1,5.45083e-05,51,88.7,0
2014-11-25 12:20Z,1.2,5.51151e-05,53,88.7,0
2014-11-25 12:21Z,1.1,5.42075e-05,52,88.7,0
2014-11-25 12:22Z,1.1,5.5421e-05,52,88.7,0
2014-11-25 12:23Z,1.1,5.5421e-05,52,88.7,0
2014-11-25 12:24Z,1.1,5.48109e-05,52,88.7,0
2014-11-25 12:25Z,1.1,5.57286e-05,51,88.7,0
2014-11-25 12:26Z,1.1,5.5421e-05,52,88.7,0
2014-11-25 12:27Z,1.1,5.5421e-05,52,88.7,0
2014-11-25 12:28Z,1.2,5.60379e-05,52,88.7,0
2014-11-25 12:29Z,1.1,5.60379e-05,51,88.7,0
2014-11-25 12:30Z,1.1,5.6349e-05,51,88.7,0
2014-11-25 12:31Z,1.1,5.5421e-05,52,88.7,0
2014-11-25 12:32Z,1.1,5.6349e-05,52,88.7,0
2014-11-25 12:33Z,1.1,5.5421e-05,52,88.7,0
2014-11-25 12:34Z,1.2,5.60379e-05,51,88.7,0
2014-11-25 12:35Z,1.1,5.60379e-05,50,88.7,0
2014-11-25 12:36Z,1.1,5.57286e-05,51,88.7,0
2014-11-25 12:37Z,1.1,5.6349e-05,51,88.7,0
2014-11-25 12:38Z,1.1,5.57286e-05,51,88.7,0
2014-11-25 12:39Z,1.1,5.6349e-05,51,88.7,0
2014-11-25 12:40Z,1.1,5.66617e-05,50,88.7,0
2014-11-25 12:41Z,1.1,5.66617e-05,51,88.7,0
2014-11-25 12:42Z,1.1,5.72925e-05,51,88.7,0
2014-11-25 12:43Z,1.2,5.66617e-05,51,88.7,0
2014-11-25 12:44Z,1.1,5.66617e-05,51,88.7,0
2014-11-25 12:45Z,1.1,5.72925e-05,53,88.7,0
2014-11-25 12:46Z,1.1,5.66617e-05,52,88.7,0
2014-11-25 12:47Z,1.1,5.76104e-05,51,88.7,0
2014-11-25 12:48Z,1.1,5.69762e-05,52,88.7,0
2014-11-25 12:49Z,1.1,5.72925e-05,52,88.7,0
2014-11-25 12:50Z,1.3,5.72925e-05,52,88.7,0
2014-11-25 12:51Z,1.4,5.76104e-05,64,88.7,0
2014-11-25 12:52Z,1.4,5.5421e-05,51,88.7,0
2014-11-25 12:53Z,1.2,5.42075e-05,52,88.7,0
2014-11-25 12:54Z,1.1,5.48109e-05,54,88.7,0
2014-11-25 12:55Z,1.1,5.39083e-05,52,89.6,0
2014-11-25 12:56Z,1.1,5.48109e-05,51,89.6,0
2014-11-25 12:57Z,1.1,5.45083e-05,52,89.6,0
2014-11-25 12:58Z,1.1,5.48109e-05,50,89.6,0
2014-11-25 12:59Z,1.1,5.57286e-05,50,89.6,0
2014-11-25 13:00Z,1.2,5.51151e-05,50,89.6,0
2014-11-25 13:01Z,1.1,5.5421e-05,51,89.6,0
2014-11-25 13:02Z,1.1,5.51151e-05,51,90.5,0
2014-11-25 13:03Z,1.1,5.5421e-05,52,89.6,0
2014-11-25 13:04Z,1.1,5.57286e-05,50,90.5,0
2014-11-25 13:05Z,1.1,5.60379e-05,49,90.5,0
2014-11-25 13:06Z,1.2,5.57286e-05,51,90.5,0
2014-11-25 13:07Z,1.1,5.57286e-05,50,90.5,0
2014-11-25 13:08Z,1.1,5.57286e-05,50,90.5,0
2014-11-25 13:09Z,1.1,5.60379e-05,49,90.5,0
2014-11-25 13:10Z,1.1,5.60379e-05,50,90.5,0
2014-11-25 13:11Z,1.3,5.60379e-05,55,90.5,0
2014-11-25 13:12Z,1.1,5.69762e-05,48,90.5,0
2014-11-25 13:13Z,1.1,5.6349e-05,47,90.5,0
2014-11-25 13:14Z,1.2,5.6349e-05,49,90.5,0
2014-11-25 13:15Z,1.1,5.60379e-05,49,90.5,0
2014-11-25 13:16Z,1.1,5.66617e-05,49,90.5,0
2014-11-25 13:17Z,1.1,5.66617e-05,49,90.5,0
2014-11-25 13:18Z,1.1,5.6349e-05,49,90.5,0
2014-11-25 13:19Z,1.1,5.69762e-05,49,90.5,0
2014-11-25 13:20Z,1.1,5.66617e-05,49,91.4,0
2014-11-25 13:21Z,1.1,5.69762e-05,49,91.4,0
2014-11-25 13:22Z,1.2,5.69762e-05,49,91.4,0
2014-11-25 13:23Z,1.1,5.69762e-05,49,91.4,0
2014-11-25 13:24Z,1.1,5.72925e-05,49,91.4,0
